"actor.followersCount" "actor.friendsCount" "actor.languages" "actor.link" "actor.preferredUsername" "actor.statusesCount" "body" "generator.displayName" "lat" "lon" "gnip.klout_score" "inReplyTo.link" "link" "object.actor.displayName" "object.actor.followersCount" "object.actor.preferredUsername" "object.actor.statusesCount" "object.twitter_entities.hashtags.text" "postedTime" "day" "hour" "min" "sec" "comboTime" "retweetCount" "twitter_entities.hashtags.text" "twitter_entities.user_mentions.screen_name" "verb"
"17050" 309 265 "en" "http://www.twitter.com/Omg_itsClyde" "Omg_itsClyde" "9877" "I slept thru Irene. I'll probably sleep thru Sandy doee" "Twitter for iPhone" "40.63971082" "-74.11676545" "38" "" "http://twitter.com/Omg_itsClyde/statuses/262556895913586689" "" "" "" "" "" "2012-10-28T14:10:16.000Z" 28 14 10 16 "10-28 14:10" "" "" "" "post"
"17165" 106 287 "en" "http://www.twitter.com/beijing_blast" "beijing_blast" "2237" "Getting mom a car charger in preparation for #hurricanesandy (@ Verizon Wireless) http://t.co/0MINJHdy" "foursquare" "41.10462248" "-73.54876" "17" "" "http://twitter.com/beijing_blast/statuses/262558945628012545" "" "" "" "" "" "2012-10-28T14:18:25.000Z" 28 14 18 25 "10-28 14:18" "" "hurricanesandy" "" "post"
"17286" 288 603 "en" "http://www.twitter.com/taylowilliam" "taylowilliam" "5101" "Barren like your sad excuse for a womb #HurricaneSandy  @ Power St Garage http://t.co/GrPhtT9r" "Instagram" "41.82270651" "-71.3975221" "42" "" "http://twitter.com/taylowilliam/statuses/262560894905643008" "" "" "" "" "" "2012-10-28T14:26:10.000Z" 28 14 26 10 "10-28 14:26" "0" "HurricaneSandy" "" "post"
"17423" 312 189 "en" "http://www.twitter.com/jacobmerinar" "jacobmerinar" "7719" "?@JuliaEarnshaw: @jacobmerinar lezzzz get sleazy!!!? Sandy sleazy party." "Twitter for iPhone" "39.9628428" "-75.19462389" "54" "" "http://twitter.com/jacobmerinar/statuses/262563270655885312" "" "" "" "" "" "2012-10-28T14:35:36.000Z" 28 14 35 36 "10-28 14:35" "0" "" "JuliaEarnshaw" "post"
"17545" 82 163 "en" "http://www.twitter.com/BiancaGiorgilli" "BiancaGiorgilli" "1850" "3 hours of work tomorrow then we're closed on tuesday.. That's what I'm talking about! #thankssandy" "Twitter for iPhone" "39.28713087" "-76.60019514" "30" "" "http://twitter.com/BiancaGiorgilli/statuses/262564780752134144" "" "" "" "" "" "2012-10-28T14:41:36.000Z" 28 14 41 36 "10-28 14:41" "0" "thankssandy" "" "post"
"17660" 224 648 "en" "http://www.twitter.com/brownmamba80" "brownmamba80" "4912" "Soon as sandy get here I'm putting on a old ass flight jacket the one wit the diamond pattern  ????????" "Twitter for iPhone" "39.28738413" "-76.61226573" "42" "" "http://twitter.com/brownmamba80/statuses/262566637889261569" "" "" "" "" "" "2012-10-28T14:48:59.000Z" 28 14 48 59 "10-28 14:48" "" "" "" "post"
"17777" 49 69 "es" "http://www.twitter.com/RaulFornesG" "RaulFornesG" "161" "Despertando en un #starbucks, mientras fuera se ven los primeros indicios del #huracansandy http://t.co/fr9tYxdN" "Twitter for Android" "40.7867786" "-73.9719579" "23" "" "http://twitter.com/RaulFornesG/statuses/262568482388983809" "" "" "" "" "" "2012-10-28T14:56:21.000Z" 28 14 56 21 "10-28 14:56" "" "starbucks,huracansandy" "" "post"
"17900" 141 444 "en" "http://www.twitter.com/MoonrakerSIPS" "MoonrakerSIPS" "280" "@IvankaTrump Jamaica during the storm #Sandy is fierce! http://t.co/3DW3QqDl" "Twitter for iPhone" "18.13979067" "-76.85454227" "33" "http://twitter.com/IvankaTrump/statuses/262536534593503232" "http://twitter.com/MoonrakerSIPS/statuses/262570101033807873" "" "" "" "" "" "2012-10-28T15:02:45.000Z" 28 15 2 45 "10-28 15:02" "" "Sandy" "IvankaTrump" "post"
"18014" 496 486 "en" "http://www.twitter.com/Jaiden_Fischer" "Jaiden_Fischer" "2550" "Lol the thought of walking to a trailer at school during hurricane sandy is kinda funny" "Twitter for Android" "40.675262" "-75.2037832" "42" "" "http://twitter.com/Jaiden_Fischer/statuses/262571717677953024" "" "" "" "" "" "2012-10-28T15:09:10.000Z" 28 15 9 10 "10-28 15:09" "" "" "" "post"
"18142" 377 378 "en" "http://www.twitter.com/RoyGotTheJuice_" "RoyGotTheJuice_" "36088" "I'm waiting for Sandy" "Twitter for iPhone" "38.8398438" "-76.93520139" "43" "" "http://twitter.com/RoyGotTheJuice_/statuses/262573370141462529" "" "" "" "" "" "2012-10-28T15:15:44.000Z" 28 15 15 44 "10-28 15:15" "0" "" "" "post"
"18261" 3026 2159 "en" "http://www.twitter.com/InfinityCody" "InfinityCody" "30185" "Ugh it's just that I have family on Vancouver island now snow from hurricane Sandy is coming after me ??" "Twitter for iPhone" "45.13642426" "-62.97568359" "44" "" "http://twitter.com/InfinityCody/statuses/262575098333106177" "" "" "" "" "" "2012-10-28T15:22:36.000Z" 28 15 22 36 "10-28 15:22" "0" "" "" "post"
"18374" 85 190 "en" "http://www.twitter.com/katiemilani" "katiemilani" "4456" "takes a real bitch to get school and work cancelled. love you sandy you mah girl for life &lt;3" "Twitter for iPhone" "40.64684862" "-73.97005406" "30" "" "http://twitter.com/katiemilani/statuses/262576484739321856" "" "" "" "" "" "2012-10-28T15:28:07.000Z" 28 15 28 7 "10-28 15:28" "0" "" "" "post"
"18501" 99 189 "en" "http://www.twitter.com/octaviodiaz" "" "2550" "Beach erosion from TS Sandy. @ 6th Ave Beach http://t.co/Ygbof25E" "Instagram" "28.062494" "-80.554204" "56" "" "http://twitter.com/octaviodiaz/statuses/262578134770147331" "" "" "" "" "" "2012-10-28T15:34:40.000Z" 28 15 34 40 "10-28 15:34" "0" "" "" "post"
"18617" 20 85 "en" "http://www.twitter.com/ricky_luca" "ricky_luca" "104" "Ops quise decir tormenra #sandy" "Twitter for Android" "40.5137915" "-74.8554422" "17" "" "http://twitter.com/ricky_luca/statuses/262579393061343232" "" "" "" "" "" "2012-10-28T15:39:40.000Z" 28 15 39 40 "10-28 15:39" "" "sandy" "" "post"
"18745" 32 69 "en" "http://www.twitter.com/waterssofnzrthh" "waterssofnzrthh" "970" "Y'all... There's been two earthquakes, a tsunami, a typhoon, a winter storm brewing in the Appalachians and Sandy all at once this weekend" "Twitter for iPhone" "39.00790366" "-77.42510519" "29" "" "http://twitter.com/waterssofnzrthh/statuses/262582246479892481" "" "" "" "" "" "2012-10-28T15:51:00.000Z" 28 15 51 0 "10-28 15:51" "" "" "" "post"
"18876" 153 194 "en" "http://www.twitter.com/alxandrialee" "alxandrialee" "2782" "If anyone in zone A needs a place to go, our couch bed is open! We also have air mattresses, sleeping bags... Wigwam camping trip? #sandy" "Twitter for iPhone" "40.79899329" "-73.96309717" "41" "" "http://twitter.com/alxandrialee/statuses/262583631938203649" "" "" "" "" "" "2012-10-28T15:56:31.000Z" 28 15 56 31 "10-28 15:56" "0" "sandy" "" "post"
"19001" NA 202 "en" "http://www.twitter.com/TyroneTraylor" "TyroneTraylor" "1208" "Perhaps the last view with leaves this year. Thanks #Sandy @ X2O Xaviars on the Hudson http://t.co/Fp1fnYeV" "Instagram" "40.93484879" "-73.90395641" "40" "" "http://twitter.com/TyroneTraylor/statuses/262584817936396288" "" "" "" "" "" "2012-10-28T16:01:13.000Z" 28 16 1 13 "10-28 16:01" "0" "Sandy" "" "post"
"19155" 86 115 "en" "http://www.twitter.com/MCsmashdaddy" "MCsmashdaddy" "1145" "#Sandy survival stash @Tytwits @juliana_brittis http://t.co/YGSpNRyF" "Twitter for iPhone" "40.63652478" "-73.95922645" "39" "" "http://twitter.com/MCsmashdaddy/statuses/262586513240510464" "" "" "" "" "" "2012-10-28T16:07:58.000Z" 28 16 7 58 "10-28 16:07" "" "Sandy" "Tytwits,juliana_brittis" "post"
"19303" 366 763 "en" "http://www.twitter.com/kjohn1419" "kjohn1419" "2778" "Stocking up for Hurricane Sandy. Where thee HECK am I? #midwestgirlproblems" "Mobile Web" "41.86269189" "-71.49774655" "38" "" "http://twitter.com/kjohn1419/statuses/262587964884938752" "" "" "" "" "" "2012-10-28T16:13:44.000Z" 28 16 13 44 "10-28 16:13" "0" "midwestgirlproblems" "" "post"
"19440" 128 75 "en" "http://www.twitter.com/BroadwaySpirit" "BroadwaySpirit" "487" "WINGS, the musical matinee today at 2pm at The Spirit of Broadway!!! Come enjoy truly innovative theater before Sandy arrives tonight!!" "Twitter for iPhone" "41.53156922" "-72.07988663" "61" "" "http://twitter.com/BroadwaySpirit/statuses/262589176887795712" "" "" "" "" "" "2012-10-28T16:18:33.000Z" 28 16 18 33 "10-28 16:18" "0" "" "" "post"
"19563" 239 848 "en" "http://www.twitter.com/nicholalexander" "nicholalexander" "1480" "Pre hurricane pizza. #sandy @ Brooklyn Pizza Factory http://t.co/65Jx6TGg" "Instagram" "40.677106" "-73.968977" "34" "" "http://twitter.com/nicholalexander/statuses/262590303817580547" "" "" "" "" "" "2012-10-28T16:23:01.000Z" 28 16 23 1 "10-28 16:23" "0" "sandy" "" "post"
"19687" 434 646 "en" "http://www.twitter.com/BDicerbo2" "BDicerbo2" "2847" "@CayseyMunn im about to slide thru ?? me jimmy and brad are flyin to cali #fucksandy #weout ?" "Twitter for iPhone" "39.33930093" "-74.48654009" "36" "http://twitter.com/CayseyMunn/statuses/262589582997073921" "http://twitter.com/BDicerbo2/statuses/262591556379365376" "" "" "" "" "" "2012-10-28T16:28:00.000Z" 28 16 28 0 "10-28 16:28" "" "fucksandy,weout" "CayseyMunn" "post"
"19811" 199 140 "ca" "http://www.twitter.com/AleixCosta7" "AleixCosta7" "8379" "Tots els mitjans es fan ress? del blindament a New York davant l'arribada de l'hurac? #Sandy" "Twitter for Android" "41.8125676" "2.2307845" "34" "" "http://twitter.com/AleixCosta7/statuses/262592767673380864" "" "" "" "" "" "2012-10-28T16:32:49.000Z" 28 16 32 49 "10-28 16:32" "0" "Sandy" "" "post"
"19927" 198 383 "en" "http://www.twitter.com/walkinthecake" "walkinthecake" "1402" "Hurry and get the boats out! #longislandproblems#sandy#hurricanesandy#frankenstorm @ Holiday Beach http://t.co/hEiTAije" "Instagram" "40.7839437" "-72.80524629" "35" "" "http://twitter.com/walkinthecake/statuses/262593856703434754" "" "" "" "" "" "2012-10-28T16:37:08.000Z" 28 16 37 8 "10-28 16:37" "0" "" "" "post"
"20046" 204 256 "en" "http://www.twitter.com/Paddy_Crean" "Paddy_Crean" "3908" "Why is hurricane sandy black?" "Twitter for iPhone" "40.88567892" "-73.05510867" "34" "" "http://twitter.com/Paddy_Crean/statuses/262594920701915136" "" "" "" "" "" "2012-10-28T16:41:22.000Z" 28 16 41 22 "10-28 16:41" "" "" "" "post"
"20166" 239 326 "en" "http://www.twitter.com/architect_villa" "architect_villa" "2613" "Hurricane? You know where I'm going to be. Alter Hall baby. That building is a class 6 structure and laughs at Sandy.  #insurance" "Twitter for iPhone" "39.9781343" "-75.16032902" "44" "" "http://twitter.com/architect_villa/statuses/262596018040893440" "" "" "" "" "" "2012-10-28T16:45:44.000Z" 28 16 45 44 "10-28 16:45" "0" "insurance" "" "post"
"20281" 1214 1264 "en" "http://www.twitter.com/I_DrinkHerJuic3" "I_DrinkHerJuic3" "33271" "Fuck Sandy, These Bitches Be Actin Up!!!" "Twitter for Windows Phone" "39.57398224" "-75.46136379" "44" "" "http://twitter.com/I_DrinkHerJuic3/statuses/262597017858093056" "" "" "" "" "" "2012-10-28T16:49:42.000Z" 28 16 49 42 "10-28 16:49" "0" "" "" "post"
"20396" 1553 1295 "en" "http://www.twitter.com/motivateyourass" "motivateyourass" "2553" "The line for #hurricane  supplies #sandy #nyc #ready @ Trader Joe's http://t.co/WI1mANvJ" "Instagram" "40.733758" "-73.988277" "62" "" "http://twitter.com/motivateyourass/statuses/262598042891472896" "" "" "" "" "" "2012-10-28T16:53:46.000Z" 28 16 53 46 "10-28 16:53" "0" "hurricane,sandy" "" "post"
"20513" 231 431 "en" "http://www.twitter.com/AlexHart101" "AlexHart101" "5599" "Watching football w/ my girl ??? #lucky #loveher #sandy" "Twitter for iPhone" "41.41686779" "-74.24535792" "45" "" "http://twitter.com/AlexHart101/statuses/262598978170929155" "" "" "" "" "" "2012-10-28T16:57:29.000Z" 28 16 57 29 "10-28 16:57" "" "lucky,loveher" "" "post"
"20628" 469 308 "en" "http://www.twitter.com/matttob8" "matttob8" "5548" "Sandy can blow me" "Twitter for iPhone" "36.8856834" "-76.31008762" "42" "" "http://twitter.com/matttob8/statuses/262599890926968832" "" "" "" "" "" "2012-10-28T17:01:07.000Z" 28 17 1 7 "10-28 17:01" "" "" "" "post"
"20759" 36 184 "en" "http://www.twitter.com/phaedradurost" "phaedradurost" "1901" "Windsor Public Schools closed Monday and Tuesday #Sandy" "Twitter for iPhone" "41.91331684" "-72.41880873" "21" "" "http://twitter.com/phaedradurost/statuses/262601121711943680" "" "" "" "" "" "2012-10-28T17:06:00.000Z" 28 17 6 0 "10-28 17:06" "" "Sandy" "" "post"
"20878" 535 1831 "en" "http://www.twitter.com/ronflatter" "ronflatter" "14223" "Not a huge crowd at NYJets game. #Sandy http://t.co/NEohu5x5" "Twitter for Android" "40.8136205" "-74.0743463" "52" "" "http://twitter.com/ronflatter/statuses/262602313145933825" "" "" "" "" "" "2012-10-28T17:10:45.000Z" 28 17 10 45 "10-28 17:10" "0" "Sandy" "" "post"
"20990" 858 133 "en" "http://www.twitter.com/SoldierX" "SoldierX" "19994" "Waiting for Sandy together! http://t.co/RD7zIF2W" "Camera on iOS" "40.605437" "-74.026344" "62" "" "http://twitter.com/SoldierX/statuses/262603406043136000" "" "" "" "" "" "2012-10-28T17:15:05.000Z" 28 17 15 5 "10-28 17:15" "0" "" "" "post"
"21104" 200 306 "en" "http://www.twitter.com/wizardkelz" "wizardkelz" "3943" "?@hurricannesandy: RETWEET IF YOU TRYNA NOT HAVE SCHOOL TOMORROW I CAN HELP A NIGGA OUT.? @thatshit_crane" "Twitter for iPhone" "41.40658779" "-75.65630516" "40" "" "http://twitter.com/wizardkelz/statuses/262604404006481920" "" "" "" "" "" "2012-10-28T17:19:03.000Z" 28 17 19 3 "10-28 17:19" "" "" "hurricannesandy,thatshit_crane" "post"
"21221" 1988 1820 "en" "http://www.twitter.com/CraigElimeliah" "CraigElimeliah" "30740" "Batting down the hatches... (@ Frankenstorm Apocalypse- Hurricane Sandy w/ @adambroitman @husanioakley @gscottstukey) http://t.co/bQS6Fi7Z" "foursquare" "40.78953415" "-73.79179716" "64" "" "http://twitter.com/CraigElimeliah/statuses/262605647487578112" "" "" "" "" "" "2012-10-28T17:23:59.000Z" 28 17 23 59 "10-28 17:23" "0" "" "AdamBroitman,husanioakley" "post"
"21338" 174 147 "en" "http://www.twitter.com/Jess_Eat_It" "Jess_Eat_It" "3916" "?@hurricannesandy: JUS BLEW DA ROOF OFF A OLIVE GARDEN FREE BREADSTICKS FOR EVERYONE.? ????????????" "Twitter for iPhone" "39.80072394" "-75.05952297" "38" "" "http://twitter.com/Jess_Eat_It/statuses/262606831015301120" "" "" "" "" "" "2012-10-28T17:28:42.000Z" 28 17 28 42 "10-28 17:28" "0" "" "hurricannesandy" "post"
"21457" 212 187 "en" "http://www.twitter.com/mish_andrade" "mish_andrade" "4664" "No school Monday or Tuesday #thankyousandy" "Twitter for iPhone" "40.69957873" "-73.80986624" "41" "" "http://twitter.com/mish_andrade/statuses/262608054401511424" "" "" "" "" "" "2012-10-28T17:33:33.000Z" 28 17 33 33 "10-28 17:33" "0" "thankyousandy" "" "post"
"21571" 37 113 "en" "http://www.twitter.com/jordangraham98" "jordangraham98" "84" "Hurrican Sandy is hilarious" "Twitter for Android" "40.0744057" "-80.6953758" "30" "" "http://twitter.com/jordangraham98/statuses/262609170996543488" "" "" "" "" "" "2012-10-28T17:38:00.000Z" 28 17 38 0 "10-28 17:38" "" "" "" "post"
"21680" 354 567 "en" "http://www.twitter.com/mattzaccagni" "mattzaccagni" "5986" "Spa afternoon for Dolly before #sandy (@ Coco and Toto) http://t.co/hs1fNWS4" "foursquare" "40.76683044" "-73.99376678" "42" "" "http://twitter.com/mattzaccagni/statuses/262610257413537792" "" "" "" "" "" "2012-10-28T17:42:19.000Z" 28 17 42 19 "10-28 17:42" "0" "sandy" "" "post"
"21793" 141 261 "en" "http://www.twitter.com/TheHoun3" "TheHoun3" "739" "awesome job! ?@AdamCTwitty: Great job @AnnaKateC  on Fox News! #RedCross #Sandy http://t.co/pMJsmHc9?" "Twitter for iPhone" "32.87253669" "-96.77274113" "37" "" "http://twitter.com/TheHoun3/statuses/262611516946276354" "" "" "" "" "" "2012-10-28T17:47:19.000Z" 28 17 47 19 "10-28 17:47" "0" "RedCross,Sandy" "AdamCTwitty,AnnaKateC" "post"
"21906" 488 1597 "en" "http://www.twitter.com/Msilve" "Msilve" "36313" "Guess I'm sleeping on a couch tonight. #HuricaneSandy @ Fair Lawn http://t.co/Q9ZChbVA" "Instagram" "40.94585027" "-74.11051566" "43" "" "http://twitter.com/Msilve/statuses/262612713467944960" "" "" "" "" "" "2012-10-28T17:52:04.000Z" 28 17 52 4 "10-28 17:52" "0" "HuricaneSandy" "" "post"
"22021" 24 91 "en" "http://www.twitter.com/CourtBKillinIt" "CourtBKillinIt" "157" "#Sandy is coming! Hide yo kids, hide yo wife. Stay safe my pretty friends :)" "Twitter for Android" "40.14350653" "-74.20280278" "" "" "http://twitter.com/CourtBKillinIt/statuses/262613839894437888" "" "" "" "" "" "2012-10-28T17:56:33.000Z" 28 17 56 33 "10-28 17:56" "" "Sandy" "" "post"
"22130" 390 389 "en" "http://www.twitter.com/kelsiekay25" "kelsiekay25" "10709" "Praying for all the places hurricane #Sandy is gonna hit." "Twitter for iPhone" "37.7361713" "-97.28187494" "46" "" "http://twitter.com/kelsiekay25/statuses/262614876139188224" "" "" "" "" "" "2012-10-28T18:00:40.000Z" 28 18 0 40 "10-28 18:00" "" "Sandy" "" "post"
"22244" 382 447 "en" "http://www.twitter.com/osprex" "osprex" "2971" "#Sandy looking more impressive.  http://t.co/4mHzK3T6" "Twitter for Android" "40.79030898" "-73.29023632" "41" "" "http://twitter.com/osprex/statuses/262618065257242624" "" "" "" "" "" "2012-10-28T18:13:20.000Z" 28 18 13 20 "10-28 18:13" "" "Sandy" "" "post"
"22355" 803 2003 "en" "http://www.twitter.com/AttyJLMcCoy" "AttyJLMcCoy" "1610" "#sandy http://t.co/6zlq2uRO" "Twitter for iPhone" "41.8307546" "-72.49568182" "40" "" "http://twitter.com/AttyJLMcCoy/statuses/262619036452528128" "" "" "" "" "" "2012-10-28T18:17:12.000Z" 28 18 17 12 "10-28 18:17" "" "sandy" "" "post"
"22475" 154 307 "en" "http://www.twitter.com/bukalovu2" "bukalovu2" "1029" "Yayayayyaya no school tommm #thankssandy ??????" "Twitter for iPhone" "40.74901412" "-73.2640774" "36" "" "http://twitter.com/bukalovu2/statuses/262619935291879424" "" "" "" "" "" "2012-10-28T18:20:46.000Z" 28 18 20 46 "10-28 18:20" "" "thankssandy" "" "post"
"22594" 184 210 "en" "http://www.twitter.com/iCarley_Evans" "iCarley_Evans" "3251" "Thank you sandy!!! #NoSchoolTomorrow #Woohoo http://t.co/9uLqNkKW" "Twitter for iPhone" "39.71763846" "-76.70805716" "34" "" "http://twitter.com/iCarley_Evans/statuses/262621009990004737" "" "" "" "" "" "2012-10-28T18:25:03.000Z" 28 18 25 3 "10-28 18:25" "" "NoSchoolTomorrow,Woohoo" "" "post"
"22714" 259 208 "en" "http://www.twitter.com/maxinejclifford" "maxinejclifford" "927" "thank you hurricane sandy ??" "Twitter for iPhone" "38.33826763" "-77.49405839" "40" "" "http://twitter.com/maxinejclifford/statuses/262622166758084608" "" "" "" "" "" "2012-10-28T18:29:38.000Z" 28 18 29 38 "10-28 18:29" "" "" "" "post"
"22828" 1849 1250 "en" "http://www.twitter.com/gypsy18" "gypsy18" "22824" "Gotta make sure I have plenty of canned pumpkin for #Sandy!! =] (@ Giant - Ashburn Farm) http://t.co/8eRu1bgg" "foursquare" "39.03660841" "-77.50147114" "41" "" "http://twitter.com/gypsy18/statuses/262623148103589888" "" "" "" "" "" "2012-10-28T18:33:32.000Z" 28 18 33 32 "10-28 18:33" "0" "Sandy" "" "post"
"22944" 166 172 "en" "http://www.twitter.com/FarTooFaded" "FarTooFaded" "2238" "Who tryna come party wit ya boy tonight?? Sandy aint turnin me down!! Im up like the clouds!!" "Twitter for iPhone" "36.47850446" "-76.32693317" "43" "" "http://twitter.com/FarTooFaded/statuses/262624056157810689" "" "" "" "" "" "2012-10-28T18:37:08.000Z" 28 18 37 8 "10-28 18:37" "" "" "" "post"
"23065" 41 62 "en" "http://www.twitter.com/bymatthewk" "bymatthewk" "162" "O baby (@ Frankenstorm Apocalypse- Hurricane Sandy w/ @bklynben) [pic]: http://t.co/SrwvgG3c" "foursquare" "40.78953415" "-73.79179716" "29" "" "http://twitter.com/bymatthewk/statuses/262624923602788352" "" "" "" "" "" "2012-10-28T18:40:35.000Z" 28 18 40 35 "10-28 18:40" "" "" "bklynben" "post"
"23177" 238 534 "en" "http://www.twitter.com/HardingStephi" "HardingStephi" "4848" "Everyone need to follow @ahurricansandy for important updates on the hurricane." "Twitter for iPhone" "50.78812357" "-1.07053575" "41" "" "http://twitter.com/HardingStephi/statuses/262625884215861249" "" "" "" "" "" "2012-10-28T18:44:24.000Z" 28 18 44 24 "10-28 18:44" "0" "" "" "post"
"23289" 1510 1832 "en" "http://www.twitter.com/NiallsNumber1_" "NiallsNumber1_" "3943" "@onedirection if hurricane sandy hits, the power and wifi will be out &amp;I won't be able to listen to little things tomorrow  :(" "Twitter for Android" "40.09693751" "-75.0157643" "32" "" "http://twitter.com/NiallsNumber1_/statuses/262626752101224448" "" "" "" "" "" "2012-10-28T18:47:51.000Z" 28 18 47 51 "10-28 18:47" "" "" "onedirection" "post"
"23397" 58 185 "en" "http://www.twitter.com/TravelPixGirl" "TravelPixGirl" "342" "Hurricane walk. Well, ok, #Sandy's not here yet, but the walk was cut short by the fir @ Historic New Castle http://t.co/5OAm8rKo" "Instagram" "39.65934221" "-75.56368122" "" "" "http://twitter.com/TravelPixGirl/statuses/262627712458432512" "" "" "" "" "" "2012-10-28T18:51:40.000Z" 28 18 51 40 "10-28 18:51" "" "Sandy" "" "post"
"23518" 649 1379 "en" "http://www.twitter.com/rafaelo_acevedo" "rafaelo_acevedo" "43373" "?sea qu? #sandy ya es enserio" "Twitter for iPhone" "41.108128" "-74.04005312" "42" "" "http://twitter.com/rafaelo_acevedo/statuses/262628743451922434" "" "" "" "" "" "2012-10-28T18:55:46.000Z" 28 18 55 46 "10-28 18:55" "0" "sandy" "" "post"
"23635" 1779 1731 "en" "http://www.twitter.com/EcoOutfitters" "EcoOutfitters" "11253" "The surfers are out in Long Beach #Sandy #NY http://t.co/TGlXSjlI" "Camera on iOS" "40.584096" "-73.669889" "62" "" "http://twitter.com/EcoOutfitters/statuses/262629679054348289" "" "" "" "" "" "2012-10-28T18:59:30.000Z" 28 18 59 30 "10-28 18:59" "0" "Sandy,NY" "" "post"
"23753" 14 62 "en" "http://www.twitter.com/stevegiermak" "stevegiermak" "187" "Hurricane Sandy. 1 hour before low tide. 10/28/12.  #sandy http://t.co/Fr9EnLhL" "Camera on iOS" "36.927224" "-76.18637" "20" "" "http://twitter.com/stevegiermak/statuses/262630708357517313" "" "" "" "" "" "2012-10-28T19:03:35.000Z" 28 19 3 35 "10-28 19:03" "" "sandy" "" "post"
"23867" 83 100 "en" "http://www.twitter.com/Miatoldme2" "Miatoldme2" "807" "\"invite everyone over, we're gonna have a hurricane sandy fuckfest\" - my sgt just now. Lolol. #hurricanesandy" "Twitter for iPhone" "39.11911991" "-75.4905286" "36" "" "http://twitter.com/Miatoldme2/statuses/262631708602560512" "" "" "" "" "" "2012-10-28T19:07:33.000Z" 28 19 7 33 "10-28 19:07" "" "hurricanesandy" "" "post"
"23988" 298 513 "en" "http://www.twitter.com/bridiaz96" "bridiaz96" "3776" "Thank you sandy !" "Twitter for iPhone" "40.17305776" "-74.7003041" "44" "" "http://twitter.com/bridiaz96/statuses/262632770830995456" "" "" "" "" "" "2012-10-28T19:11:46.000Z" 28 19 11 46 "10-28 19:11" "" "" "" "post"
"24106" 10 110 "en" "http://www.twitter.com/TiCaL2Tre" "TiCaL2Tre" "823" "Bring it!!!! (@ Frankenstorm Apocalypse - Hurricane Sandy w/ @heymisterray) http://t.co/EmKibop3" "foursquare" "40.78953415" "-73.79179716" "21" "" "http://twitter.com/TiCaL2Tre/statuses/262634084927410176" "" "" "" "" "" "2012-10-28T19:17:00.000Z" 28 19 17 0 "10-28 19:17" "" "" "heyMisterRay" "post"
"24223" 49 68 "es" "http://www.twitter.com/jjvaldes13" "jjvaldes13" "580" "?@ELNORTECOM: Insta Obama a tomar seriamente a  Sandy   http://t.co/D783TePJ? // @sandiegza" "Twitter for iPhone" "25.73209336" "-100.2792001" "25" "" "http://twitter.com/jjvaldes13/statuses/262635145297813504" "" "" "" "" "" "2012-10-28T19:21:12.000Z" 28 19 21 12 "10-28 19:21" "" "" "ELNORTECOM,sandiegza" "post"
"24336" 275 368 "en" "http://www.twitter.com/jamie_waring" "jamie_waring" "5019" "@RachGrodz let's sacrifice sandy to sandy" "Twitter for iPhone" "40.74333006" "-73.75211882" "44" "" "http://twitter.com/jamie_waring/statuses/262636091973181441" "" "" "" "" "" "2012-10-28T19:24:58.000Z" 28 19 24 58 "10-28 19:24" "" "" "RachGrodz" "post"
"24454" 25 67 "en" "http://www.twitter.com/bofowonasu" "bofowonasu" "824" "#hurricanesandy http://t.co/80Bt5Ci0" "Twitter for iPhone" "40.41990433" "-74.56175017" "37" "" "http://twitter.com/bofowonasu/statuses/262637138833711104" "" "" "" "" "" "2012-10-28T19:29:08.000Z" 28 19 29 8 "10-28 19:29" "" "hurricanesandy" "" "post"
"24573" 57 157 "en" "http://www.twitter.com/Plasticbassoon" "Plasticbassoon" "1061" "Hi Sandy, I'm Phil (@ Cliffwood Beach) [pic]: http://t.co/3q844RNl" "foursquare" "40.44602083" "-74.21516686" "24" "" "http://twitter.com/Plasticbassoon/statuses/262638320343973888" "" "" "" "" "" "2012-10-28T19:33:49.000Z" 28 19 33 49 "10-28 19:33" "0" "" "" "post"
"24693" 437 1360 "en" "http://www.twitter.com/hillypill" "hillypill" "5537" "Waiting for #Sandy (@ Frankenstormpocalypse w/ 5 others) http://t.co/9n3xzQs2" "foursquare" "40.76868559" "-73.99159137" "51" "" "http://twitter.com/hillypill/statuses/262639375152717824" "" "" "" "" "" "2012-10-28T19:38:01.000Z" 28 19 38 1 "10-28 19:38" "0" "Sandy" "" "post"
"24813" 215 251 "en" "http://www.twitter.com/jgildea18" "jgildea18" "3813" "O wait, I already don't have any classes tmr regardless of sandy #lol" "Twitter for iPhone" "42.65998483" "-73.78259681" "43" "" "http://twitter.com/jgildea18/statuses/262640267872575488" "" "" "" "" "" "2012-10-28T19:41:34.000Z" 28 19 41 34 "10-28 19:41" "" "lol" "" "post"
"24923" 329 603 "en" "http://www.twitter.com/GaryGerbrandt" "GaryGerbrandt" "9750" "both excited and slightly terrified at the possibility of Sandy making this week insane. fingers crossed this won't affect the election." "Twitter for iPad" "42.37406251" "-71.12234935" "62" "" "http://twitter.com/GaryGerbrandt/statuses/262641159581609984" "" "" "" "" "" "2012-10-28T19:45:06.000Z" 28 19 45 6 "10-28 19:45" "0" "" "" "post"
